country,noc_code,team_name,year,n_athletes,gold,silver,bronze,total_medals,snowfall_total,snowfall_mean_gridcell,gdp,gdp_per_capita,population,won_any_medal,log_total_medals,log_gdp,log_population,medals_per_million
NZL,NZL,New Zealand,1994,7,0,0,0,0,1.1374580590111416,4.094753817354658,55314732279.1379,15280.3127842922,3620000,0,0.0,10.742840814766412,6.558708570533166,0.0
POL,POL,Poland,1994,28,0,0,0,0,0.7801920374781,2.5171443686504285,110803635287.621,2874.83163555069,38542652,0,0.0,11.044554009123955,7.5859415937999986,0.0
PRI,PUR,Puerto Rico,1994,5,0,0,0,0,0.0,0.0,39690630000.0,10876.4188239898,3649237,0,0.0,10.598687992415657,6.562202069571777,0.0
PRT,POR,Portugal,1994,1,0,0,0,0,0.0065318500710647,0.070154485872057,99688641304.3478,9977.31990905771,9991525,0,0.0,10.998645676868616,6.999631779371047,0.0
ROU,ROU,Romania,1994,23,0,0,0,0,0.5518862393863515,2.320003688531352,30072805104.2542,1323.03237766927,22730211,0,0.0,10.478173939722732,7.356603467212448,0.0
RUS,RUS,Russia,1994,113,19,13,4,36,122.24792678600836,7.22282978912834,395077301248.464,2662.10400390625,148407912,1,3.6109179126442243,11.596682078464738,8.171457054894118,0.24257466812146783
SEN,SEN,Senegal,1994,1,0,0,0,0,0.0,0.0,5034588195.55806,583.782776032181,8624078,0,0.0,9.701963953199298,6.935712675813025,0.0
SMR,SMR,San Marino,1994,3,0,0,0,0,,,,,24823,0,0.0,,4.39485426728004,0.0
SVK,SVK,Slovakia,1994,42,0,0,0,0,0.1408603307296022,2.9930442265532973,20428139755.6056,3820.96427542658,5346331,0,0.0,10.310228820344689,6.728055843126743,0.0
SVN,SLO,Slovenia,1994,22,0,0,3,3,0.0845778195390302,4.424679569640191,16400767069.6294,8243.89895545106,1989443,1,1.3862943611198906,10.214864160627988,6.298731500587161,1.50795976562284
SWE,SWE,Sweden,1994,84,23,1,0,24,3.60195667742303,8.029017280488594,228699066874.028,26045.5196995275,8780745,1,3.2188758248682006,11.359264392624732,6.9435313650704416,2.7332532717895806
TTO,TTO,Trinidad and Tobago,1994,2,0,0,0,0,0.0,0.0,,,,0,0.0,,,
